基金代码,基金名称,基金类型,基金经理,今日净值,昨日净值,累计净值,今日涨跌幅,过去一月涨跌幅,过去三月涨跌幅,过去六月涨跌幅,过去一年涨跌幅,过去三年涨跌幅,成立以来涨跌幅
050028,博时安心收益定开债A,定开债券,黄海峰,--,1.018,1.456, ,-0.59%,2.52%,4.09%,8.18%,14.38%,48.69%
050030,博时亚洲票息收益债券,QDII,何凯,--,1.4762,1.6187, ,3.78%,-0.55%,0.92%,5.50%,13.97%,68.39%
050106,博时稳定价值债券A,债券型,邓欣雨,1.6551,1.654,2.038,0.07%,-0.36%,0.73%,3.44%,6.37%,13.13%,122.40%
050111,博时信用债券C,债券型,过钧,2.4493,2.432,2.529,0.71%,-2.33%,-10.98%,-2.13%,2.36%,15.32%,163.35%
050116,博时宏观回报债券C,债券型,王申,1.3862,1.385,1.504,0.09%,-0.07%,-0.21%,6.86%,15.38%,28.50%,52.60%
050119,博时转债增强债券C,债券型,邓欣雨,1.3946,1.383,1.387,0.84%,-3.56%,-15.46%,1.77%,5.33%,6.38%,38.64%
050123,博时天颐债券C,债券型,王衍胜,1.4419,1.442,1.685,-0.01%,-0.07%,0.77%,8.75%,15.64%,30.38%,74.81%
050128,博时安心收益定开债C,定开债券,黄海峰,--,1.013,1.423, ,-0.59%,2.43%,4.00%,7.77%,13.18%,44.79%
050201,博时价值增长贰号混合,混合型,蒋娜,0.7933,0.792,2.247,0.16%,1.28%,-3.06%,12.98%,29.20%,23.56%,124.44%
050202,博时亚洲票息收益债券现汇,QDII,何凯,--,0.2071,0.2297, ,3.09%,-2.17%,-0.38%,2.12%,9.87%,48.36%
050203,博时亚洲票息收益债券现钞,QDII,何凯,--,0.2071,0.2297, ,3.09%,-2.17%,-0.38%,2.12%,9.87%,48.36%
070001,嘉实成长收益混合A,混合型,胡涛,1.3569,1.3616,4.5849,-0.34%,3.98%,5.16%,17.81%,18.89%,17.88%,1091.10%
070002,嘉实增长混合,混合型,归凯,15.1755,15.165,15.826,0.07%,4.86%,4.45%,19.89%,43.85%,81.51%,1963.76%
070003,嘉实稳健混合,混合型,张淼,1.3677,1.357,3.63,0.79%,3.04%,-1.95%,6.71%,16.73%,24.52%,422.94%
070005,嘉实债券,债券型,曲扬,1.3459,1.345,2.365,0.07%,-0.66%,0.60%,3.26%,5.68%,17.67%,198.47%
070006,嘉实服务增值行业混合,混合型,常蓁,6.0988,6.058,6.588,0.67%,5.23%,4.77%,13.67%,23.95%,19.58%,639.42%
070009,嘉实超短债债券,债券型,李金灿,1.0555,1.0554,1.4991,0.01%,-0.05%,0.79%,1.90%,3.57%,13.29%,62.79%
070010,嘉实主题混合,混合型,王丹,1.5201,1.519,3.142,0.07%,4.33%,3.08%,17.60%,22.22%,6.22%,299.35%
070011,嘉实策略混合,混合型,董福焱,1.1283,1.121,2.145,0.65%,3.51%,-5.08%,7.36%,15.48%,12.18%,147.16%
070012,嘉实海外中国股票混合,QDII,蒋一茜,0.9181,0.919,0.919,-0.10%,6.24%,3.03%,5.51%,16.18%,19.04%,-8.10%
070013,嘉实研究精选混合A,混合型,张丹华,1.9662,1.949,3.43,0.88%,3.45%,-2.06%,8.11%,18.07%,5.32%,325.81%
070015,嘉实多元债券A,债券型,王茜,1.1909,1.189,1.734,0.16%,0.17%,-2.54%,5.18%,6.51%,12.51%,93.40%
070016,嘉实多元债券B,债券型,王茜,1.1851,1.183,1.69,0.18%,0.17%,-2.63%,5.08%,6.37%,11.62%,86.45%
070017,嘉实量化阿尔法混合,混合型,金猛,1.2923,1.286,1.689,0.49%,1.50%,-4.81%,6.22%,19.01%,9.88%,74.74%
070018,嘉实回报混合,混合型,常蓁,1.305,1.298,1.996,0.54%,6.66%,7.10%,15.81%,37.07%,64.20%,123.06%
070019,嘉实价值优势混合,混合型,谭丽,1.5698,1.559,2.16,0.70%,1.17%,-3.05%,6.93%,25.32%,55.70%,142.55%
